The Warrior Who Carried Life,Geoff Ryman
Brute Force,Dean Wesley Smith
Dimension X,James Luceno
The Quest For Magic,Piers Anthony
Turning The Storm,Naomi Kritzer
Vectors,Michael Kube-Mcdowell
When Dragons Rage,Michael A Stackpole
The Prince Of Dreams,Curt Benjamin
The War Of The Flowers,Tad Williams
Geomancer,Ian Irvine
Dark Heavens,Roger Levy
Requiem For The Sun,Elizabeth Haydon
White Bizango,Stephen Gallagher
V.A.O.,Geoff Ryman
The Wreck Of The River Of Stars,Michael Flynn
The Duke Of Uranium,John Barnes
The Last Bastion,Barbara Wellesley
The Hollow Chocolate Bunnies Of The Apocalypse,Robert Rankin
Vagabond,Bernard Cornwell
The Haunted Air,F Paul Wilson
Misspent Youth,Peter F Hamilton
The Wings Of Merlin,TA Barron
Into The Darkness,Kevin Mccarthy
Take A Thief,Mercedes Lackey
Exile's Honor,Mercedes Lackey
Stealing The Elf-King's Roses,Diane Duane
Darwin's Children,Greg Bear
White Wolf,David Gemmell
The Earthborn,Paul Collins
The Battle Of Evernight,Cecilia Dart-Thornton
Lord Of Snow And Shadows,Sarah Ash
The Shores Of Tomorrow,Roger Macbride Allen
First Rider's Call,Kristen Britain
Gridlinked,Neal Asher
The Anvil Of The World,Kage Baker
Spirits In The Wires,Charles DE Lint
The Facts Of Life,Graham Joyce
Drowning World,Alan Dean Foster
Pattern Recognition,William Gibson
Lady Robyn,R Garcia Y Robertson
Let's All Kill Constance,Ray Bradbury
Down And Out In The Magic Kingdom,Cory Doctorow
A Princess Of The Aerie,John Barnes
One Knight Only,Peter David
Hidden Warrior,Lynn Flewelling
Wild Magic,Jude Fisher
Naked Empire,Terry Goodkind
A Forest Of Stars,Kevin J Anderson
Zandru's Forge,Marion Zimmer Bradley
Coyote Cowgirl,Kim Antieau
Finding Helen,Colin Greenland
The Tears Of The Salamander,Peter Dickinson
For Love And Glory,Poul Anderson
Zulu Heart,Steven Barnes
Song Of The Beast,Carol Berg
Seeds Of Betrayal,David B Coe
The Wraiths Of Will And Pleasure,Storm Constantine
Jarka Ruus,Terry Brooks
Cerulean Sins,Laurell K Hamilton
Louisiana Breakdown,Lucius Shepard
The Merlin Conspiracy,Diana Wynne Jones
Memory,Linda Nagata
Wasteland Of Flint,Thomas Harlan
Sims,F Paul Wilson
Singularity Sky,Charles Stross
A Fortress Of Grey Ice,JV Jones
The Dragon Of Despair,Jane Lindskold
The Fifth Ring,Mitchell Graham
Conquistador,SM Stirling
Crossfire,Nancy Kress
Humans,Robert J Sawyer
Jovian,Donald Moffitt
Hades' Daughter,Sara Douglass
The Gates Of Dawn,Robert Newcomb
Extremes,Kristine Kathryn Rusch
Blind Lake,Robert Charles Wilson
Callahan's Con,Spider Robinson
In The Forests Of Serre,Patricia A Mckillip
The Anguished Dawn,James P Hogan
The Face,Dean Koontz
Roma Eterna,Robert Silverberg
Saturn,Ben Bova
Wolfskin,Juliet Marillier
Joust,Mercedes Lackey
The Risen Empire,Scott Westerfeld
The Light Ages,Ian R Macleod
The Silver Gryphon,Marty Halpern
The Wizard Hunters,Martha Wells
The Deceiver,Melanie Tem
The Lost Steersman,Rosemary Kirstein
The Devil's Armor,John Marco
Loamhedge,Brian Jacques
Inventing Memory,Anne Harris
Shelter,Susan Palwick
The Machine Crusade,Kevin J Anderson
"I, Libertine",Betty Ballantine
Abhorsen,Garth Nix
Dhampir,Barb Hendee
Hauntings,Nancy Holder
Immortalis,RA Salvatore
The Vampire's Violin,Michael Romkey
Rally Point,David Sherman
Skin Game,Max Allan Collins
Dark Angel,DA Stern
Dante's Equation,Jane Jensen
Fat White Vampire Blues,Andrew Fox
Reunion,Shane Dix
The Secret Of The Sword,Terry Brooks
The Victorious Opposition,Harry Turtledove
Web Warrior #3,James Luceno
After The Dark,Max Allan Collins
The Raven Warrior,Alice Borchardt
Shatterpoint,Matthew Stover
The Druids' Keep,Terry Brooks
Steel Helix,Ann Tonsor Zeddies
Tatooine Ghost,Troy Denning
X-Men 2,Chris Claremont
Refugee,Shane Dix
Hulk,Peter David
Transcendence,RA Salvatore
Future Wars,Martin H Greenberg
Guardian Of The Promise,Irene Radford
Hidden In Sight,Julie E Czerneda
Magic's Silken Snare,Elizabeth Gilligan
Stranger Inside,Steven Krane
Between Darkness And Light,Lisanne Norman
Holder Of Lightning,SL Farrell
Mage Of Clouds,SL Farrell
Valentine,Lucius Shepard
Well Of Darkness,Tracy Hickman
Dragon Blood,Patricia Briggs
Sucker Punch,Rick Shelley
March To The Stars,John Ringo
Grail Prince,Nancy Mckenzie
The Seed,Leonard Sanders
The Man Inside,W Watts Biggers
Lud-In-The-Mist,Hope Mirrlees
A Strange And Seeing Time,Elizabeth Byrd
The Caves Of Karst,Lee Hoffman
Doomsman,Harlan Ellison
Telepower,Lee Hoffman
Always The Black Knight,Lee Hoffman
Change Song,Lee Hoffman
Light A Last Candle,Vincent King
Candy Man,Vincent King
Another End,Vincent King
Time Snake And Superclown,Vincent King
The Shaving Of Shagpat,George Meredith
Starbreed,Martha Demey Clow
The World's Desire,H Rider Haggard
Starflight 3000,RW Mackelworth
The People Of The Mist,H Rider Haggard
The Day He Died,Henry Kuttner
Fancies And Goodnights,John Collier
City,Clifford D Simak
Coraline,Neil Gaiman
Drawn And Quartered,Charles Addams
Green Mansions,WH Hudson
The Grass Is Always Greener,George Malcolm-Smith
Club Dead,Charlaine Harris
E.Godz,Robert Asprin
The Flood,William C Dietz
Remnant,Shane Dix
The Atrocity Archive,Charles Stross
Long Hot Summoning,Tanya Huff
The Kindling,Jennifer Armstrong
Star Corps,Ian Douglas (Pseudonym)
The Wreck Of Heaven,Holly Lisle
Incompetence,Rob Grant
Dragon Moon,Alan F Troop
Enemies,Lee Hogan
A Call To Arms,Loren L Coleman
The Glasswrights' Test,Mindy L Klasky
Messiah Node,Lyda Morehouse
A Silence In The Heavens,James D Macdonald
Eternity Row,SL Viehl
The Bastard King,Dan Chernenko
Paper Mage,Leah R Cutter
Shadow Of The Storm,Kurt RA Giambastiani
The Ruins Of Power,Robert E Vardeman
Bitter Waters,Wen Spencer
Maul,Tricia Sullivan
Snare,Katharine Kerr
Dragon And Thief,Timothy Zahn
Destruction Of Illusions,Keith RA Decandido
Firewall,RJ Pineiro
Hecate's Glory,Karen Michalson
Daughter Of Ireland,Juilene Osborne-Mcknight
The Binder's Road,Terry Mcgarry
The Phoenix Exultant,John C Wright
A Circle Of Cats,Charles DE Lint
Jaws Of Darkness,Harry Turtledove
Snowfall,Mitchell Smith
Sanctuary,Lynn Abbey
The Blind Mirror,Christopher Pike
Mistress Of Dragons,Margaret Weis
The White Dragon,Laura Resnick
Something From The Nightside,Simon R Green
The Devil In The Dust,Chaz Brenchley
The Gathering Dark,Christopher Golden
Sword Of King James,J Ardian Lee
The Digital Dead,Bruce Balfour
A Dark Way To Glory,Chaz Brenchley
Craven Moon,Billie Sue Mosiman
The Riven Shield,Michelle West
The Dragon Guard,Emily Drake
Gateways,F Paul Wilson
Ilium,Dan Simmons
Journey Into The Void,Tracy Hickman
The Hunting Of The Last Dragon,Sherryl Jordan
The Companions,Sheri S Tepper
Patriots In Arms,Ben Weaver
Paladin Of Souls,Lois Mcmaster Bujold
Contact Imminent,Kristine Smith
Hell's Faire,John Ringo
Spirits White As Lightning,Rosemary Edghill
The Creatures Of Man,Howard L Myers
Dead On My Feet,WM Mark Simmons
Forge Of The Titans,Steve White
Time's Eye,Stephen Baxter
The Angel's Command,Brian Jacques
The Lair Of Bones,David Farland
Aunt Dimity Takes A Holiday,Nancy Atherton
Aunt Dimity,Nancy Atherton
Seven Beyond,Stella Atrium
Equinox Zero,Mark Ellis
In His Image,James Beauseigneur
The Eye Of The Stone,Tom Birdseye
The Madness Of Priests,Philippe Boulle
Quarantine,Laura J Burns
Forbidden,Richard Lee Byers
Secret Of The Sinister Six,Adam-Troy Castro
The Killing Kind,John Connolly
"The Rise And Fall Of Khan Noonien Singh, Volume Two",Greg Cox
Loose Ends,Greg Cox
Friend Or Foe?,Greg Cox
Lost And Found,Greg Cox
Search And Rescue,Greg Cox
Akiko And The Alpha Centauri 5000,Mark Crilley
Destroying Worlds,John David
Dorsai Spirit,Gordon R Dickson
Surak's Soul,JM Dillard
Man From Tomorrow,Wilson Tucker
In The Shadow Of The Warlock Lord,Terry Brooks
Dark Debts,Doranna Durgin
Rebel Thunder,Bill Mccay
Echo Of Eternity,Maggie Furey
Shatterglass,Tamora Pierce
The Pixel Eye,Paul Levinson
Repeat Performance,William O'Farrell
Utopia 14,Kurt Vonnegut
The Age Of The Tail,H Allen Smith
Impressions,Doranna Durgin
Insect Dreams,Marc Estrin
The Fury And The Power,John Farris
Dark Symphony,Christine Feehan
A Just Determination,John G Hemry
The Wrong Reflection,Gillian Bradshaw
Battle At Zero Point,Mack Maloney
In The Hall Of The Martian King,John Barnes
Midnight Harvest,Chelsea Quinn Yarbro
Young Miles,Lois Mcmaster Bujold
The Course Of Empire,Eric Flint
The Shadow Of The Lion,Eric Flint
The Far Side Of The Stars,David Drake
Planets Of Adventure,Murray Leinster
The Alchemist,Donna Boyd
The Sorcerer's Academy,Denise Little
A Matter Of Profit,Hilari Bell
The Goblin Wood,Hilari Bell
Acorna's Rebels,Anne Mccaffrey
The Keepers Of The Flame,Jennifer Armstrong
Nothing Human,Nancy Kress
Budayeen Nights,George Alec Effinger
Archform,LE Modesitt
The Dragon's Doom,ED Greenwood
Terminator 3,David Hagberg
Going For Infinity,Poul Anderson
Berserker's Star,Fred Saberhagen
A Stainless Steel Trio,Harry Harrison
Not Really The Prisoner Of Zenda,Joel Rosenberg
Flip,David Lubar
Hunters Of The Dark Sea,Mel Odom
Harry Keogh,Brian Lumley
Conan Of Venarium,Harry Turtledove
Red Mercury,Mark Fabi
The Gates Of Winter,Mark Anthony
Confidence Game,Michelle M Welch
Clade,Mark Budz
The Grand Crusade,Michael A Stackpole
Warriors Of Ultramar,Graham Mcneill
Shadow Point,Gordon Rennie
Slave Trade,Susan Wright
Slave Masters,Susan Wright
Riders Of The Dead,Dan Abnett
Mark Of Damnation,James Wallis
Labyrinth,Mark T Sullivan
The Serpent's Kiss,Mark T Sullivan
The Woad To Wuin,Peter David
Angel Cafe,Jill Morrow
The Sundered,Andy Mangels
Imaginings,Keith RA Decandido
Way Of The Dead,Christian Dunn
A Midsummer Night's Scream,David Bergantino
The Last World War,Dayton Ward
Prophecy And Change,Marco Palmieri
The Good House,Tananarive Due
Judgment Of The Witch,Robert R Mccammon
I Burn For You,Susan Sizemore
Riverwatch,Joseph Nassise
Fantasy Life,Kristine Kathryn Rusch
The Dragon Sorceror,John Gregory Betancourt
The Two Princesses Of Bamarre,Gail Carson Levine
Hippolyta And The Curse Of The Amazons,Robert J Harris
Minnie And Moo And The Potato From Planet X,Denys Cazet
The Magic Paintbrush,Laurence Yep
Stanley In Space,Jeff Brown
Stanley And The Magic Lamp,Jeff Brown
Skeleton Man,Joseph Bruchac
The Wee Free Men,Terry Pratchett
The Tiger's Apprentice,Laurence Yep
Moo Cow Kaboom!,Thacher Hurd
Fire And Ice,Erin Hunter
Teenage Mermaid,Ellen Schreiber
The Wolves In The Walls,Neil Gaiman
Vampire Kisses,Ellen Schreiber
The Night The Martians Landed,Kathleen Krull
Lily's Ghosts,Laura Ruby
Dangerous Girls,RL Stine
Leon And The Spitting Image,Allen Kurzweil
Monstrous Regiment,Terry Pratchett
What Do Angels Wear?,Eileen Spinelli
Forest Of Secrets,Erin Hunter
Rowan And The Ice Creepers,Emily Rodda
Windwalker,Elaine Cunningham
Condemnation,Richard Baker
Plague Of Ice,TH Lain
A Warrior's Journey,Tonya C Cook
Scourge,J Robert King
Night Of Blood,Richard A Knaak
Night Of The Dragons,Tracy Hickman
A Rumor Of Dragons,Tracy Hickman
Wind Of Justice,Rich Wulf
The Sundered Arms,TH Lain
The Middle Of Nowhere,Paul B Thompson
The Alabaster Staff,Edward Bolme
The Thousand Orcs,RA Salvatore
City Of The Lost,Mary H Herbert
Dissolution,Richard Lee Byers
The Monsters Of Magic,J Robert King
Twilight Falling,Paul S Kemp
Saying Uncle,Greg F Gifune
"The Book Of Elementals, Vol. 1 And 2",Phyllis Eisenstein
Myth-Alliances,Robert Asprin
The City In Stone,Phyllis Eisenstein
Fantastyka I Futurologia,Stanisław Lem?Stanislaw Lem
X-Men,Steve Lyons
Micronauts,Steve Lyons
Resurrection,Richard Hatch
Galactica Discovers Earth,Glen A Larson
Paradis,Richard Hatch
An Evil Hour,Russell Blackford
X-Men,Steve Lyons
Two Sought Adventure,Fritz Leiber
"Shades Of Night, Falling",John J Miller
Philip José Farmer's The Dungeon 2,Robin Wayne Bailey
The Ultimate Dragon,John Gregory Betancourt
Hardwired,Scott Ciencin
Dragonkin,Robin Wayne Bailey
The Dawn Of Amber,John Gregory Betancourt
Philip Jose Farmer's The Dungeon 3,Charles DE Lint
Micronauts,Steve Lyons
Swords In The Mist,Fritz Leiber
The Ultimate Alien,John Gregory Betancourt
A Gathering Of Shadows,Russell Davis
The Best Of Ray Bradbury,Ray Bradbury
Annihilation,David Cian
Times Of Trouble,Russell Blackford
Always Darkest,Stan Timmons
Chaos And Amber,John Gregory Betancourt
X-Men,Steve Lyons
From Narnia To A Space Odyssey,Arthur C Clarke
The Ultimate Halloween,Marvin Kaye
The Red Star,Arthur Byron Cover
The Master Of The Rings,Susan Ang
Swords Against Wizardry,Fritz Leiber
Wild Cards,George RR Martin
The Prisoner,Hank Stine
The Last Defender Of Camelot,Roger Zelazny
Robot Dreams,Isaac Asimov
Signals,Kevin D Randle
Melchior's Fire,Jack L Chalker
A Plague Of Demons & Other Stories,Keith Laumer
Empire From The Ashes,David Weber
Duel,Richard Matheson
The Dead And The Damned,Jonathan Green
The Raven Game,Caiseal Mór
Wither's Rain,John Passarella
Year Zero,Jeff Long
Hamlet Ii,David Bergantino
Blood Money,CL Werner
Hidden Leaves,VC Andrews
Green Lantern,Dennis O'Neil
The Core,Dean Wesley Smith
Angels Of Darkness,Gav Thorpe
A Terrible Beauty,Graham Masterton
Dinotopia,James Gurney
Mixed Magics,Diana Wynne Jones
The Gingerbread Rabbit,Randall Jarrell
Into The Wild,Erin Hunter
I Won'T Get Lost,Martha Lambert
Haunted,Meg Cabot
Mickey & Me,Dan Gutman
Memory Boy,Will Weaver
The Kiln,Jennifer Armstrong
An Earthly Knight,Janet Mcnaughton
Legacy Of The Drow,RA Salvatore
Legions,J Robert King
Winterheim,Douglas Niles
The Bloody Eye,TH Lain
The Players Of Gilean,Tracy Hickman
Darkness And Light,Tonya C Cook
Neverwinter Nights,Philip Athans
Dragons Of A Vanished Moon,Tracy Hickman
Lord Of Stormweather,Dave Gross
Treachery's Wake,TH Lain
Emperor's Fist,Scott Mcgough
Dzienniki Gwiazdowe,Stanisław Lem?Stanislaw Lem
Down & Dirty,George RR Martin
Isaac Asimov's Robots And Aliens 3,Bruce Bethke
Magneto,Steven A Roman
Red Skull,Steven A Roman
Demons,Mike Baron
Dinosaur Tales,Ray Bradbury
Swords And Deviltry,Fritz Leiber
The Ultimate Dracula,David Keller
Science Fiction,Karen Haber
Philip Jose Farmer's The Dungeon,Bruce Coville
The Ultimate Frankenstein,John Betancourt
Tales Of The Slayer,Uncredited
Shadow Of The Sphinx,Carla Jablonski
Dreamwalk,Paul Ruditis
The Lost Slayer,Christopher Golden
Curse,Nancy Holder
Where In The World Is Sabrina Spellman?,Paul Ruditis
Monster Island,Christopher Golden
Something Wiccan This Way Comes,Emma Harrison
Snow,Tracy Lynn
Tartabull's Throw,Henry Garfield
The Fallen,Thomas E Sniegoski
The Deep End Of Fear,Elizabeth Chandler
None But Lucifer,L Sprague De Camp
Sleeper,Steven Harriman
The Mayflower Project,KA Applegate
Destination Unknown,KA Applegate
Them,KA Applegate
Nowhere Land,KA Applegate
Mutation,KA Applegate
Breakdown,KA Applegate
Isolation,KA Applegate
"Mother, May I?",KA Applegate
No Place Like Home,KA Applegate
Lost And Found,KA Applegate
Dream Storm,KA Applegate
Aftermath,KA Applegate
Survival,KA Applegate
Begin Again,KA Applegate
Swamp Monster In The Third Grade,Debbie Dadey
Kindred Spirits,HB Gilmour
Polar Bear Patrol,Judith Stamper
Time Out,Steve Barlow
Leprechauns Don'T Play Fetch,Debbie Dadey
Knights Of The Periodic Table,Bobbi JG Weiss
Hardcase,Dan Simmons
Mallworld,SP Somtow
The Book Of Webster's,JN Williamson
"""Once More, With Feeling""",Joss Whedon
A Coldness In The Blood,Fred Saberhagen
A New Beginning,Kevin Ryan
A Reading Guide To A Wrinkle In Time By Madeline L'Engle,Manuela Soares
A Reading Guide To The Giver By Lois Lowry,Jeannette Sanderson
A State Of Disobedience,Tom Kratman
Air Ferrets Aloft,Richard Bach
Amazing Magnetism,Rebecca Carmi
Vengeance,Scott Ciencin
Fogging Over,Annie Dalton
"Another Heaven, Another Earth",HM Hoover
Assassin's Blade,Scott Mcgough
Attack Of The Soggy Underwater People,Dan Greenburg
Aurora,Mark W Tiedemann
Spellsinger,Rachel Roberts
Bad Dog And Those Crazee Martians!,Martin Chatterton
Rebellion,Richard Hatch
Bear's Dream,Deborah King
Beauty Sleep,Cameron Dokey
"Bertrem's Guide To The War Of Souls, Volume 2",Stan Brown
"The Best Of The Realms, Book I",Uncredited
Betrayal,Jean Rabe
Betrayed,Francine Pascal
Beware The Bohrok,CA Hapka
Blood,Tony Shillitoe
Blood And Fog,Nancy Holder
Blood And Gold,Anne Rice
Blood & Ivory,PC Hodgell
Blood And Judgment,Lars Walker
Crossfire,Terry Bisson
Maze Of Deception,Elizabeth Hand
A New Threat,Elizabeth Hand
The Mummy,Larry Mike Garmon
Brain Power,Bobbi JG Weiss
Brain Ships,Margaret Ball
Bride Of Frankenstein,Larry Mike Garmon
Bridge To Terabithia,Katherine Paterson
Little Things,Rebecca Moesta
Buffy The Vampire Slayer,Dori Koogler
Calypso Dreaming,Charles Butler
Cavern Of The Fear,Emily Rodda
Chainer's Torment,Scott Mcgough
Chains Of Destruction,Selina Rosen
Champion's Trial,Scott Mcgough
Chaos Bleeds,James Moore
Charmed Again,Elizabeth Lenhard
Chosen,Nancy Holder
City Of Fire,TH Lain
Clockstoppers,Andy Hedden
Cold Tom,Sally Prue
The Complete Vampire Chronicles,Anne Rice
Conan The Swordsman,Lin Carter
Control,Steve Barlow
Cootie Wars,Bobbi JG Weiss
The Crimson Gold,Voronica Whitney-Robinson
Crossings,Mel Odom
Crown Of Slaves,Eric Flint
Crucible,Troy Denning
Cube Route,Piers Anthony
"Cybele, With Bluebonnets",Charles L Harness
Dark Futures,Russell Blackford
Dark Journey,Elaine Cunningham
Dark Thane,Jeff Crook
Dark Vengeance,Diana G Gallagher
Darkness Falls,Keith RA Decandido
Darknesses,LE Modesitt
Date With Death,Elizabeth Lenhard
Dead Time,Andrew Neiderman
Dead Wrong,HB Gilmour
Deadly Dreams Of Dr. Damage,Jeff O' Hare
Deadly Offer,Caroline B Cooney
Deathscent,Robin Jarvis
Deathwing,Neil Jones
The Deltora Book Of Monsters,Emily Rodda
Destiny,Sharon Green
Dex-Terminator,Bobbi JG Weiss
Dexter's Ink,Howie Dewin
Digital Knight,Ryk E Spoor
Insurrection,Thomas M Reid
Extinction,Lisa Smedman
Divine Hammer,Chris Pierson
Dog In The Dungeon,Ben M Baglio
Double Jeopardy,HB Gilmour
Draco,Ian Watson
Dragon Venom,Lawrence Watt-Evans
Dragons Of A Lost Star,Tracy Hickman
Dreaming Down-Under,Jack Dann
Dreamland Chronicles,WM Mark Simmons
Ecolitan Prime,LE Modesitt
Endangered Species,Nancy Holder
Endgame,Loren L Coleman
Evil Returns,Caroline B Cooney
Expanded Universe,Robert Heinlein
Expecting Beowulf,Tom Holt
Expedition Down Under,Rebecca Carmi
Farseer,William King
Fatal Bargain,Caroline B Cooney
Fathom Book 1,Kevin Andrew Murphy
Fire Logic,Laurie J Marks
The Problem With Pelly,Shana Corey
First Meetings,Orson Scott Card
Forever ...,Jude Deveraux
Freehold,Michael Z Williamson
Friend Or Foe?,Steve Barlow
From The Horse's Mouth,Kathy Mackel
Fudoki,Kij Johnson
Garden Of Evil,Emma Harrison
The Broken Places,Daniel Morris
Ghost Class,Debbie Dadey
Ghost War,Michael A Stackpole
Ghosts,Rhiannon Lassiter
